Ins,.,Sessions,Cursor/session,Redo,Redo,Block,Physical,Physical,Logical,User,Hard
No,Date,(not.per.sec),(not.per.sec),Size,Writes,Changes,Writes,Reads,Reads,Calls,Parse
------------------------,--------------------,-------------,--------------,---------------,-----------,-------------,----------,-----------,---------------,-----------,---------
2,07-MAR-18/12:00:00,877,27.65,2,270,746.99,314.74,5,342.36,658.07,###########
2,07-MAR-18/13:00:00,865,27.99,2,462,282.43,322.59,6,77.75,711.13,###########
2,07-MAR-18/14:00:00,855,28.27,2,820,549.31,372.26,6,564.61,811.39,324
2,07-MAR-18/15:00:00,846,28.69,3,35,291.69,405.41,7,283.06,887.82,324
2,07-MAR-18/16:00:00,824,29.3,3,151,845.31,416.94,7,786.17,952.39,324
2,07-MAR-18/17:00:00,843,28.77,3,342,816.6,401.91,8,565.56,1,36.26
2,07-MAR-18/18:00:00,852,28.4,3,974,483.31,386.74,12,360.1,1,437.59
2,07-MAR-18/19:00:00,824,29.33,2,785,895.42,365.94,6,774.29,841.2,324
2,07-MAR-18/20:00:00,836,29.01,2,752,392.28,372.36,6,598.06,810.6,323
2,07-MAR-18/21:00:00,823,29.48,2,655,484.94,347.83,6,330.16,759.29,324
2,07-MAR-18/22:00:00,901,27.06,2,477,172.85,337.66,6,237.85,768.89,320
2,07-MAR-18/23:00:00,891,27.4,4,104,942.6,366.82,13,709.14,1,944.84
2,08-MAR-18/00:00:00,890,27.42,2,586,231.32,306.5,6,737.23,948.3,296
2,08-MAR-18/01:00:00,846,28.83,2,125,583.42,244.97,5,341.79,641.59,321
2,08-MAR-18/02:00:00,867,28.21,2,71,798.2,226.15,5,567.81,645.11,321
2,08-MAR-18/03:00:00,835,29.2,1,636,118.17,235.87,4,303.9,520.95,316
2,08-MAR-18/04:00:00,892,27.53,1,825,246.09,255.99,4,676.6,524.95,317
2,08-MAR-18/05:00:00,856,28.58,1,948,921.32,264.55,5,265.72,611.05,321
2,08-MAR-18/06:00:00,915,26.9,2,132,82.44,282.38,5,794.57,691.79,318
2,08-MAR-18/07:00:00,898,27.36,1,956,945.81,296.8,5,266.09,611.96,318
2,08-MAR-18/08:00:00,874,28.09,2,301,734.74,337.72,5,449.54,639.9,325
2,08-MAR-18/09:00:00,896,27.45,2,347,977.91,301.91,5,822.84,700.6,325
2,08-MAR-18/10:00:00,827,29.53,2,480,618.86,305.03,5,612.22,706.63,319
2,08-MAR-18/11:00:00,911,27.04,2,403,613.24,306.31,5,343.71,667.45,322
2,08-MAR-18/12:00:00,868,28.24,2,408,961.77,359.46,5,836.81,683.66,318
2,08-MAR-18/13:00:00,877,27.97,2,502,178.64,411.33,6,451.73,740.28,320
