Day of Date,Month of Date,Year of Date,DB Cpu,DB Time
1,January,2018,2038097,4199930
2,January,2018,3461515,6561251
3,January,2018,3689762,6944579
4,January,2018,3967562,7783724
5,January,2018,3682728,6999488
6,January,2018,2295411,4739688
7,January,2018,2158604,4930471
8,January,2018,3898096,7419240
9,January,2018,4232005,8031977
10,January,2018,4095547,7722640
11,January,2018,4091356,7744308
12,January,2018,3926275,10850600
13,January,2018,2283570,5429799
14,January,2018,2045187,4185272
15,January,2018,3252617,7259981
16,January,2018,4158542,13252826
17,January,2018,4379385,15481425
18,January,2018,4303317,15813332
19,January,2018,4116877,14112536
20,January,2018,2331236,6344557
21,January,2018,2083452,4311987
22,January,2018,4150827,14646911
23,January,2018,4343560,15281215
24,January,2018,4343903,18428658
25,January,2018,4534295,34039279
26,January,2018,3918303,23092788
27,January,2018,2322555,8511317
28,January,2018,2182237,4409492
29,January,2018,4348738,25357226
30,January,2018,4337031,16384403
31,January,2018,4327541,17746385
1,February,2018,4299914,17373128
2,February,2018,4638085,17766045
3,February,2018,2374060,6156262
4,February,2018,2248968,4589350
5,February,2018,4326999,8677537
6,February,2018,4439697,8614537
7,February,2018,4295704,8193642
8,February,2018,4295981,8396343
9,February,2018,4005087,7782417
10,February,2018,2487770,5150329
11,February,2018,2321004,4822446
12,February,2018,3894116,7983729
13,February,2018,4253134,8250492
14,February,2018,4176277,8136819
15,February,2018,4149215,8031319
16,February,2018,3961875,13566573
17,February,2018,2559396,6394579
18,February,2018,2385219,5175232
19,February,2018,3368126,6886166
20,February,2018,4139010,8075115
21,February,2018,4262497,8129254
22,February,2018,4417212,17152411
23,February,2018,4210288,16519287
24,February,2018,2415100,5868517
25,February,2018,2240253,4664134
26,February,2018,4360577,17420470
27,February,2018,4455947,16138088
28,February,2018,4502741,18978874
1,March,2018,4582263,28149148
2,March,2018,4204413,24137725
3,March,2018,2487401,7011171
4,March,2018,2309127,4766603
5,March,2018,4437178,19717495
6,March,2018,4598099,16631708
7,March,2018,4874778,22151569
8,March,2018,5030605,22906227
9,March,2018,4594493,19086470
10,March,2018,2639764,6817989
11,March,2018,2556532,6170490
12,March,2018,4686619,10271648
13,March,2018,4824067,17364869
14,March,2018,4830628,20294970
15,March,2018,4760569,16504915
16,March,2018,4459483,13565719
17,March,2018,2566475,6759908
18,March,2018,2590872,5337773
19,March,2018,4603968,9089686
20,March,2018,4780162,8986197
21,March,2018,4744428,16855361
22,March,2018,4978290,20180002
23,March,2018,4749800,25141042
24,March,2018,3147582,8986265
25,March,2018,2707126,6211279
26,March,2018,4974863,9648690
27,March,2018,5138628,11606394
28,March,2018,5073733,9582819
29,March,2018,5012892,9501110
30,March,2018,4373438,8589427
31,March,2018,3085876,6761356
1,April,2018,2706819,6045343
2,April,2018,4562156,9228551
3,April,2018,5090565,9999349
4,April,2018,5100712,9757954
5,April,2018,5108110,9797004
6,April,2018,4782103,9376376
7,April,2018,2763056,6815792
8,April,2018,2970630,6320500
9,April,2018,5115148,10417364
10,April,2018,5080968,10076059
11,April,2018,5215680,10269472
12,April,2018,5228638,10344610
13,April,2018,4670519,9300133
14,April,2018,2969100,6389248
15,April,2018,2916641,6339400
16,April,2018,5380982,11082704
17,April,2018,5182348,10229312
18,April,2018,5198090,10256064
19,April,2018,5188808,13190223
20,April,2018,4846303,13835385
21,April,2018,2992683,7294415
22,April,2018,2941365,6412411
23,April,2018,5301531,18558047
24,April,2018,5362222,18844108
25,April,2018,5432728,23672154
26,April,2018,5936316,25692406
27,April,2018,5039809,18583969
28,April,2018,2930995,7795171
29,April,2018,2846517,6596083
30,April,2018,4798266,18611432
1,May,2018,4462733,15983325
2,May,2018,5221250,20314319
3,May,2018,5193922,21216461
4,May,2018,4892622,19142345
5,May,2018,2966382,7816465
6,May,2018,2888543,6621642
7,May,2018,5397398,27348829
8,May,2018,5377906,22799441
9,May,2018,5523805,32904120
10,May,2018,5148984,21661467
11,May,2018,4910854,18628187
12,May,2018,2896681,6972557
13,May,2018,2841160,6235743
14,May,2018,5112478,10433776
15,May,2018,5291105,13973015
16,May,2018,5325035,22374060
17,May,2018,5255713,23314740
18,May,2018,5113253,28303906
19,May,2018,3014389,9418317
20,May,2018,2879130,6549783
21,May,2018,5091619,21841630
22,May,2018,5443636,27368892
23,May,2018,5374044,23854224
24,May,2018,5417356,23700938
25,May,2018,4904948,20174955
26,May,2018,2915470,6744399
27,May,2018,2793424,6967962
28,May,2018,4081104,8637195
