Day of Date,Month of Date,Year of Date,SQL Execs
1,January,2018,3998737
2,January,2018,6208246
3,January,2018,6567384
4,January,2018,7196731
5,January,2018,6615901
6,January,2018,4527033
7,January,2018,4711745
8,January,2018,7003241
9,January,2018,7573561
10,January,2018,7286467
11,January,2018,7298130
12,January,2018,8690690
13,January,2018,4860545
14,January,2018,3990482
15,January,2018,6404493
16,January,2018,9962496
17,January,2018,11402002
18,January,2018,11568918
19,January,2018,10657838
20,January,2018,5415630
21,January,2018,4108544
22,January,2018,11037919
23,January,2018,11329534
24,January,2018,12988341
25,January,2018,22484444
26,January,2018,15243057
27,January,2018,6571338
28,January,2018,4207557
29,January,2018,16868197
30,January,2018,11915067
31,January,2018,12900742
1,February,2018,12429578
2,February,2018,12894499
3,February,2018,5342880
4,February,2018,4383426
5,February,2018,8150229
6,February,2018,8123844
7,February,2018,7711790
8,February,2018,7908386
9,February,2018,7328731
10,February,2018,4928659
11,February,2018,4612899
12,February,2018,7468582
13,February,2018,7770226
14,February,2018,7683414
15,February,2018,7574781
16,February,2018,10469758
17,February,2018,5602720
18,February,2018,4953814
19,February,2018,6467012
20,February,2018,7621544
21,February,2018,7658739
22,February,2018,12277759
23,February,2018,12034356
24,February,2018,5193156
25,February,2018,4445348
26,February,2018,12661617
27,February,2018,11713039
28,February,2018,13478304
1,March,2018,18309916
2,March,2018,16302801
3,March,2018,5878450
4,March,2018,4548792
5,March,2018,14011157
6,March,2018,12539341
7,March,2018,15853564
8,March,2018,16302940
9,March,2018,13880669
10,March,2018,6082815
11,March,2018,5932802
12,March,2018,9195889
13,March,2018,12886014
14,March,2018,14492624
15,March,2018,12674585
16,March,2018,10790449
17,March,2018,5906388
18,March,2018,5087988
19,March,2018,8589967
20,March,2018,8451064
21,March,2018,12566692
22,March,2018,14365799
23,March,2018,16784691
24,March,2018,7890733
25,March,2018,5904571
26,March,2018,9157864
27,March,2018,10112802
28,March,2018,9088996
29,March,2018,9025421
30,March,2018,8167719
31,March,2018,6502021
1,April,2018,5812962
2,April,2018,8771866
3,April,2018,9374656
4,April,2018,9255949
5,April,2018,9291386
6,April,2018,8895298
7,April,2018,6535359
8,April,2018,6062683
9,April,2018,9831988
10,April,2018,9565917
11,April,2018,9737009
12,April,2018,9818156
13,April,2018,8830385
14,April,2018,6134227
15,April,2018,6092914
16,April,2018,10484507
17,April,2018,9707892
18,April,2018,9717955
19,April,2018,11371174
20,April,2018,11256522
21,April,2018,6548923
22,April,2018,6148081
23,April,2018,14239185
24,April,2018,14402471
25,April,2018,16867537
26,April,2018,18492541
27,April,2018,13965728
28,April,2018,6893892
29,April,2018,6349168
30,April,2018,13777581
1,May,2018,12381281
2,May,2018,15141875
3,May,2018,15384409
4,May,2018,13968739
5,May,2018,6902014
6,May,2018,6360379
7,May,2018,19245065
8,May,2018,16634813
9,May,2018,21605017
10,May,2018,15487366
11,May,2018,13656047
12,May,2018,6338668
13,May,2018,5982321
14,May,2018,9797275
15,May,2018,11763473
16,May,2018,15820347
17,May,2018,16350961
18,May,2018,18841190
19,May,2018,7984544
20,May,2018,6286239
21,May,2018,15809486
22,May,2018,18903796
23,May,2018,16576938
24,May,2018,16582792
25,May,2018,14638966
26,May,2018,6355013
27,May,2018,6718734
28,May,2018,8163562
