% Cpu,Block Changes,Cursor/session,DB Cpu,DB Time,Date (DB Statistics),Date,Hard Parse (DB Statistics),Hard Parse,Instance Number (DB Statistics),Servers,JAVA Execs,Logical Reads,Number of Records,PLSQL Execs,Parse Time,PhysRead/Txn,PhysWrite/Txn,Redo 1,Redo,Repeat,SQL Execs,Sessions,User Calls
51.47,164.53,25.23,16676,32403,3/26/2018 12:00:00 PM,3/26/2018 12:00:00 PM,66,32,9,9,101,138.57,1,3031,125,5,288.04,311,2,25,30930,903,590.92
53.25,199.1,24.37,21520,40415,3/24/2018 9:00:00 AM,3/24/2018 9:00:00 AM,78,10,9,9,9966,756.06,1,4416,757,4,367.76,561,1,25,39320,807,354.84
45.28,535.79,21,10926,24131,3/25/2018 6:00:00 PM,3/25/2018 6:00:00 PM,85,13,9,9,101,295.14,1,1791,119,2,182.59,167,1,25,23204,906,229.09
50.58,413.56,24.76,17781,35152,3/6/2018 8:00:00 AM,3/6/2018 8:00:00 AM,904,36,9,9,177,191.39,1,3279,966,5,285.34,949,2,25,33451,970,685.73
19.18,630.2,28.92,18120,94473,3/16/2018 9:00:00 PM,3/16/2018 9:00:00 PM,905,29,9,9,93,119.43,1,3277,958,5,312.61,629,2,25,66434,869,603.57
18.14,811.13,28.76,18628,102718,3/6/2018 11:00:00 PM,3/6/2018 11:00:00 PM,906,28,9,9,136,617.01,1,3189,961,4,305.81,588,2,25,72429,842,585.51
52.5,576.62,29.28,16934,32257,3/22/2018 9:00:00 AM,3/22/2018 9:00:00 AM,909,32,9,9,97,88.32,1,3009,967,5,284.6,706,2,25,30620,849,614.22
16.01,338.52,30.3,18312,114389,3/22/2018 10:00:00 PM,3/22/2018 10:00:00 PM,909,28,9,9,97,25.86,1,3267,973,5,305.35,709,2,25,78028,825,585.72
52.83,158.84,30.61,16787,31777,3/23/2018 10:00:00 AM,3/23/2018 10:00:00 AM,910,33,9,9,124,197.77,1,3165,978,5,305.23,732,2,25,30251,823,636.76
51.74,219.69,25.97,15373,29709,3/14/2018 11:00:00 AM,3/14/2018 11:00:00 AM,911,25,9,9,83,519.29,1,2751,960,4,282.48,520,2,25,28168,954,601.81
51.07,943.59,27.98,16013,31357,3/13/2018 11:00:00 AM,3/13/2018 11:00:00 AM,912,29,9,9,80,944.15,1,2940,963,4,291.32,666,2,25,29874,862,629.39
54.86,285.41,26.39,17086,31146,3/20/2018 10:00:00 AM,3/20/2018 10:00:00 AM,914,35,9,9,92,293.02,1,3282,969,5,292.21,828,2,25,29471,912,659.59
49.91,993.29,29.61,15889,31833,3/8/2018 10:00:00 AM,3/8/2018 10:00:00 AM,914,28,9,9,109,113.69,1,2859,964,5,288.1,657,2,25,30192,833,639.14
19.25,81.16,27.79,20277,105334,3/7/2018 11:00:00 PM,3/7/2018 11:00:00 PM,914,784.65,9,9,123,724.39,1,3164,970,12,339.59,216,4,25,78854,889,1
11.87,412.2,30.72,20895,176001,3/23/2018 8:00:00 PM,3/23/2018 8:00:00 PM,914,30,9,9,125,613.96,1,3769,978,31,348.38,409,7,25,116024,823,928.61
54.1,600.83,28.63,18103,33461,3/22/2018 10:00:00 AM,3/22/2018 10:00:00 AM,916,36,9,9,112,591.64,1,3344,981,5,294.42,883,2,25,31711,869,672.09
11.83,395.26,30.94,17730,149880,3/2/2018 10:00:00 PM,3/2/2018 10:00:00 PM,917,30,9,9,56,34.86,1,3111,964,5,297.7,647,2,25,100114,827,572.59
