Measure Names,Month of Date,Year of Date,Measure Values
SQL Execs,January,2018,271595010
PLSQL Execs,January,2018,20965204
JAVA Execs,January,2018,553219
DB Time,January,2018,348017285
SQL Execs,February,2018,228889090
PLSQL Execs,February,2018,20374898
JAVA Execs,February,2018,1479769
DB Time,February,2018,274893095
SQL Execs,March,2018,327285524
PLSQL Execs,March,2018,24295730
JAVA Execs,March,2018,2342141
DB Time,March,2018,418786025
SQL Execs,April,2018,294233912
PLSQL Execs,April,2018,23167046
JAVA Execs,April,2018,1608962
DB Time,April,2018,341131039
SQL Execs,May,2018,359681310
PLSQL Execs,May,2018,21059556
JAVA Execs,May,2018,740294
DB Time,May,2018,481302693
