% Cpu,Block Changes,Cursor/session,DB Cpu,DB Time,Date (DB Statistics),Date,Hard Parse (DB Statistics),Hard Parse,Instance Number (DB Statistics),Servers,JAVA Execs,Logical Reads,Number of Records,PLSQL Execs,Parse Time,PhysRead/Txn,PhysWrite/Txn,Redo 1,Redo,Repeat,SQL Execs,Sessions,User Calls
,,19.8,,,4/7/2018 3:00:00 AM,4/7/2018 3:00:00 AM,,,4,4,0,,1,0,,,,,,0,,784,
,,20.68,,,3/24/2018 5:00:00 AM,3/24/2018 5:00:00 AM,,,4,4,0,,1,0,,,,,,0,,801,
,,19.47,,,3/25/2018 5:00:00 AM,3/25/2018 5:00:00 AM,,,4,4,0,,1,0,,,,,,0,,810,
44.73,173.57,30.86,7491,16746,2/4/2018 3:00:00 AM,2/4/2018 3:00:00 AM,46,430.25,4,4,29,195.29,1,1261,62,648.5,1,790.19,927,9,16070,806,11
56.75,166.03,30.45,7604,13400,3/18/2018 12:00:00 AM,3/18/2018 12:00:00 AM,16,780.37,4,4,21,162.9,1,1299,32,635.9,1,317.7,669,9,12497,817,31
49.21,180.23,30.85,7862,15978,2/4/2018 9:00:00 AM,2/4/2018 9:00:00 AM,184,545.79,4,4,35,211.79,1,1298,222,67.19,2,237.38,940,10,15231,804,9
53.5,187.97,30.88,7264,13578,3/18/2018 1:00:00 AM,3/18/2018 1:00:00 AM,26,795.75,4,4,25,195.8,1,1345,45,103.53,2,830.83,723,10,12714,805,30
45.27,600.01,29.82,8860,19573,2/17/2018 11:00:00 PM,2/17/2018 11:00:00 PM,39,13,4,4,32,461.01,1,1389,55,1,164.36,101,1,10,18867,807,149.46
48.73,178.92,30.79,7153,14678,2/4/2018 2:00:00 AM,2/4/2018 2:00:00 AM,37,586.31,4,4,30,205.97,1,1226,59,867.72,1,877.73,852,10,13996,807,9
47.88,169.48,30.73,7572,15816,2/4/2018 12:00:00 AM,2/4/2018 12:00:00 AM,64,736.72,4,4,25,185.39,1,1255,80,639.47,1,720.36,873,10,15121,807,10
46.67,349.43,29.85,8727,18701,2/18/2018 1:00:00 AM,2/18/2018 1:00:00 AM,70,12,4,4,41,733.76,1,1459,89,1,172.98,50,1,10,17997,808,194.52
44.51,626.24,30.89,7874,17691,3/11/2018 12:00:00 AM,3/11/2018 12:00:00 AM,34,11,4,4,67,774,1,1375,52,1,184.03,82,1,10,17001,810,181.39
46.48,442.64,30.89,7951,17106,3/11/2018 3:00:00 AM,3/11/2018 3:00:00 AM,18,11,4,4,73,88.47,1,1424,39,2,177.53,63,1,10,16337,811,219.35
45.5,291,30.86,8425,18515,3/10/2018 10:00:00 PM,3/10/2018 10:00:00 PM,52,12,4,4,67,713.28,1,1425,70,1,165.67,28,1,10,17784,811,169.24
53.23,170,30.62,7115,13366,3/17/2018 11:00:00 PM,3/17/2018 11:00:00 PM,48,888.26,4,4,19,192.26,1,1318,64,102.67,2,868.08,729,10,12532,812,29
45.78,475.01,30.76,7823,17088,3/11/2018 1:00:00 AM,3/11/2018 1:00:00 AM,22,11,4,4,78,975.55,1,1394,45,1,180.53,27,1,10,16369,814,199.32
48.55,169.19,28.97,7039,14498,1/27/2018 9:00:00 PM,1/27/2018 9:00:00 PM,259,45.78,4,4,29,167.22,1,1236,298,566.33,1,297.17,828,10,13818,814,10
44.62,191.64,28.54,6947,15569,1/27/2018 12:00:00 PM,1/27/2018 12:00:00 PM,3,979.9,4,4,40,185.44,1,1279,22,951.76,1,757.11,857,10,14865,815,8
46.5,174.88,29.05,7369,15847,1/28/2018 2:00:00 AM,1/28/2018 2:00:00 AM,208,622.41,4,4,27,183.98,1,1280,243,782.13,1,161.48,882,10,15156,815,10
50.12,196.16,30.66,8159,16280,3/18/2018 8:00:00 AM,3/18/2018 8:00:00 AM,199,262.78,4,4,92,223.69,1,1381,244,171.52,2,727.86,969,10,15484,815,9
43.86,691.92,30.7,8477,19326,3/10/2018 11:00:00 PM,3/10/2018 11:00:00 PM,33,13,4,4,58,415.97,1,1366,51,1,166.84,41,1,10,18629,816,144.18
51.02,173.92,29.23,7608,14913,1/14/2018 12:00:00 AM,1/14/2018 12:00:00 AM,0,776.48,4,4,24,177.43,1,1288,17,877.22,1,240.76,839,10,14217,816,12
46.62,181.81,29.11,7059,15142,1/28/2018 6:00:00 AM,1/28/2018 6:00:00 AM,23,771.19,4,4,36,195.07,1,1295,40,918.53,1,580.07,864,10,14476,816,10
41.85,649.75,30.23,10421,24902,5/27/2018 12:00:00 AM,5/27/2018 12:00:00 AM,48,13,4,4,24,426.35,1,1509,66,1,161.45,63,1,10,24106,817,152.94
49.68,177.71,30.63,7093,14276,2/25/2018 1:00:00 AM,2/25/2018 1:00:00 AM,6,528.27,4,4,37,182.54,1,1402,24,709.45,1,728.65,755,10,13550,817,25
52.83,171.5,30.58,7403,14012,2/24/2018 8:00:00 PM,2/24/2018 8:00:00 PM,44,463.98,4,4,36,245.13,1,1475,62,202.44,2,454.36,827,10,13253,817,22
45.27,163.13,30.33,8571,18932,4/1/2018 2:00:00 AM,4/1/2018 2:00:00 AM,1,108.43,4,4,26,206.64,1,1294,19,985.65,1,748.21,870,10,18224,817,9
45.4,734.72,30.62,8494,18708,3/10/2018 9:00:00 PM,3/10/2018 9:00:00 PM,29,11,4,4,96,567.39,1,1409,52,1,179.46,29,1,10,17943,818,178.82
48.07,164.73,30.49,9102,18934,4/28/2018 10:00:00 PM,4/28/2018 10:00:00 PM,18,433.32,4,4,363,193.24,1,1634,167,734.39,1,308.11,742,10,18200,818,23
49.49,163.24,30.51,8836,17854,4/28/2018 11:00:00 PM,4/28/2018 11:00:00 PM,36,196.74,4,4,375,185.91,1,1632,188,14.57,2,485.61,766,10,17042,818,19
43.03,931.55,30.15,10643,24736,5/26/2018 10:00:00 PM,5/26/2018 10:00:00 PM,43,13,4,4,36,822.36,1,1646,64,1,171.59,120,1,10,23853,819,182.43
54.52,177.23,30.34,7149,13113,3/17/2018 10:00:00 PM,3/17/2018 10:00:00 PM,27,656.56,4,4,21,153.06,1,1337,45,638.36,1,499.02,606,10,12275,819,32
44.53,142.85,29.65,10209,22924,5/5/2018 9:00:00 PM,5/5/2018 9:00:00 PM,23,44,4,4,32,591.07,1,1368,41,3,110.25,256,1,10,22162,820,395.04
