Day of Date,Month of Date,Year of Date,Sessions
1,January,2018,147107
2,January,2018,147537
3,January,2018,146600
4,January,2018,148141
5,January,2018,149863
6,January,2018,147490
7,January,2018,150565
8,January,2018,147911
9,January,2018,145562
10,January,2018,148255
11,January,2018,142415
12,January,2018,145687
13,January,2018,145900
14,January,2018,147589
15,January,2018,145901
16,January,2018,142039
17,January,2018,145258
18,January,2018,146024
19,January,2018,148692
20,January,2018,142914
21,January,2018,147131
22,January,2018,143624
23,January,2018,146287
24,January,2018,143515
25,January,2018,144478
26,January,2018,146529
27,January,2018,139712
28,January,2018,141850
29,January,2018,143477
30,January,2018,143858
31,January,2018,145859
1,February,2018,144791
2,February,2018,145283
3,February,2018,145458
4,February,2018,142657
5,February,2018,143143
6,February,2018,143615
7,February,2018,143372
8,February,2018,144847
9,February,2018,144374
10,February,2018,143592
11,February,2018,143025
12,February,2018,142825
13,February,2018,142049
14,February,2018,143818
15,February,2018,144934
16,February,2018,144452
17,February,2018,142865
18,February,2018,143761
19,February,2018,143437
20,February,2018,142235
21,February,2018,144135
22,February,2018,144533
23,February,2018,143871
24,February,2018,143527
25,February,2018,143638
26,February,2018,142769
27,February,2018,144227
28,February,2018,144014
1,March,2018,145221
2,March,2018,144882
3,March,2018,143365
4,March,2018,143945
5,March,2018,143364
6,March,2018,145793
7,March,2018,153902
8,March,2018,166730
9,March,2018,165070
10,March,2018,165199
11,March,2018,164673
12,March,2018,163616
13,March,2018,165335
14,March,2018,165146
15,March,2018,164725
16,March,2018,164682
17,March,2018,160453
18,March,2018,164762
19,March,2018,162914
20,March,2018,164148
21,March,2018,164137
22,March,2018,164609
23,March,2018,163969
24,March,2018,154477
25,March,2018,158914
26,March,2018,164983
27,March,2018,164616
28,March,2018,160030
29,March,2018,167644
30,March,2018,165979
31,March,2018,165264
1,April,2018,167419
2,April,2018,166655
3,April,2018,165879
4,April,2018,165901
5,April,2018,166181
6,April,2018,167279
7,April,2018,147691
8,April,2018,160723
9,April,2018,167702
10,April,2018,168321
11,April,2018,164165
12,April,2018,168377
13,April,2018,161656
14,April,2018,166698
15,April,2018,168707
16,April,2018,166708
17,April,2018,169766
18,April,2018,167950
19,April,2018,169357
20,April,2018,169875
21,April,2018,167501
22,April,2018,171366
23,April,2018,165337
24,April,2018,164988
25,April,2018,168679
26,April,2018,169802
27,April,2018,168318
28,April,2018,162286
29,April,2018,161276
30,April,2018,164833
1,May,2018,166931
2,May,2018,165705
3,May,2018,167276
4,May,2018,167730
5,May,2018,166887
6,May,2018,168877
7,May,2018,166196
8,May,2018,168394
9,May,2018,167559
10,May,2018,168437
11,May,2018,165215
12,May,2018,166503
13,May,2018,170495
14,May,2018,165569
15,May,2018,166362
16,May,2018,167163
17,May,2018,167941
18,May,2018,166486
19,May,2018,166417
20,May,2018,170648
21,May,2018,163179
22,May,2018,167426
23,May,2018,167550
24,May,2018,166751
25,May,2018,168697
26,May,2018,164119
27,May,2018,168838
28,May,2018,161845
