% Cpu,Block Changes,Cursor/session,DB Cpu,DB Time,Date (DB Statistics),Date,Hard Parse (DB Statistics),Hard Parse,Instance Number (DB Statistics),Servers,JAVA Execs,Logical Reads,Number of Records,PLSQL Execs,Parse Time,PhysRead/Txn,PhysWrite/Txn,Redo 1,Redo,Repeat,SQL Execs,Sessions,User Calls
52,799.11,27.23,17994,34606,5/23/2018 8:00:00 AM,5/23/2018 8:00:00 AM,65,22,9,9,71,705.1,1,3198,121,5,285.61,382,2,25,32816,922,671.71
48.92,945.04,26.25,17413,35595,5/21/2018 1:00:00 PM,5/21/2018 1:00:00 PM,68,20,9,9,48,841.58,1,3186,116,4,294.8,234,2,25,33990,878,597.26
50.89,81.06,26.04,17291,33974,5/23/2018 12:00:00 PM,5/23/2018 12:00:00 PM,69,18,9,9,75,39.93,1,3251,121,5,308.15,226,2,25,32251,968,616.63
18.06,734.18,29.62,18612,103070,5/23/2018 10:00:00 PM,5/23/2018 10:00:00 PM,87,24,9,9,47,325.2,1,3464,137,4,291.64,220,2,25,65225,852,545.77
20.43,258.69,28.68,19261,94265,5/24/2018 12:00:00 PM,5/24/2018 12:00:00 PM,100,22,9,9,49,888.78,1,3136,149,4,282.86,486,2,25,60350,893,630.93
47.82,815.56,25.61,15732,32896,5/7/2018 12:00:00 PM,5/7/2018 12:00:00 PM,114,18,9,9,51,757.48,1,2751,157,4,280.62,135,2,25,31451,881,553.22
43.41,140.41,22.79,10709,24668,5/6/2018 7:00:00 PM,5/6/2018 7:00:00 PM,585,13,9,9,28,406.19,1,1569,706,2,174.5,185,1,25,23749,832,260.42
45.26,108.04,23.68,14594,32247,5/14/2018 1:00:00 AM,5/14/2018 1:00:00 AM,722,16,9,9,26,25.84,1,2055,1009,3,152.68,331,1,25,30870,870,301.02
10.56,752.55,29.43,20467,193773,5/18/2018 6:00:00 PM,5/18/2018 6:00:00 PM,21,20,6,6,55,178.68,1,3376,78,6,340.78,489,2,28,108508,833,687.96
37.67,436.78,27.86,17973,47713,5/15/2018 7:00:00 PM,5/15/2018 7:00:00 PM,21,18,6,6,59,602.86,1,3347,87,6,286.9,550,2,28,39033,871,713.07
50.59,85.9,26.5,16725,33057,5/16/2018 8:00:00 AM,5/16/2018 8:00:00 AM,22,17,6,6,35,819.52,1,3018,71,5,274.77,302,2,28,31224,929,626.78
10.22,292.51,28.97,19832,193999,5/22/2018 9:00:00 PM,5/22/2018 9:00:00 PM,22,20,6,6,84,351.03,1,3291,86,6,340.75,564,2,28,119232,830,686.32
17.09,762.37,29.11,20742,121390,5/18/2018 2:00:00 PM,5/18/2018 2:00:00 PM,25,20,6,6,53,299.06,1,3632,79,6,331.1,621,2,28,79022,844,752.02
40.92,419.76,29.35,17075,41725,5/11/2018 2:00:00 PM,5/11/2018 2:00:00 PM,26,18,6,6,43,152.46,1,3313,78,7,319.17,731,2,28,34179,849,749.32
14.73,785.51,29.55,20353,138133,5/11/2018 3:00:00 PM,5/11/2018 3:00:00 PM,26,19,6,6,53,935.63,1,3659,87,5,342.28,579,2,28,88754,841,743.34
16.6,395.94,29.31,20468,123321,5/11/2018 4:00:00 PM,5/11/2018 4:00:00 PM,26,23,6,6,61,911.99,1,3623,90,6,359.01,767,2,28,83884,852,789.72
16.48,152.37,28.93,18888,114583,5/8/2018 8:00:00 PM,5/8/2018 8:00:00 PM,29,18,6,6,49,504.99,1,3254,87,5,325.13,414,2,28,83785,828,650.26
45.83,856.63,27.4,16456,35905,5/17/2018 10:00:00 AM,5/17/2018 10:00:00 AM,30,16,6,6,34,417.75,1,3252,79,5,322.83,270,2,28,34080,900,629.85
15.8,154.88,28.86,18655,118083,5/15/2018 8:00:00 PM,5/15/2018 8:00:00 PM,32,16,6,6,54,68.63,1,3268,92,6,305.87,476,2,28,76854,838,690.06
48.87,706.92,26.76,17818,36462,5/14/2018 8:00:00 PM,5/14/2018 8:00:00 PM,33,17,6,6,33,216.36,1,3274,91,5,301.8,373,2,28,34267,875,627.72
20.56,582.6,30.01,18562,90298,5/11/2018 9:00:00 PM,5/11/2018 9:00:00 PM,15,19,9,9,76,941.29,1,3158,73,4,300.76,307,2,26,59820,836,607.53
12.92,964.33,28.1,19990,154661,5/21/2018 10:00:00 PM,5/21/2018 10:00:00 PM,19,26,9,9,65,898.21,1,3246,73,4,298.77,200,2,26,101499,836,558.75
18.5,970.84,27.64,18589,100479,5/1/2018 9:00:00 PM,5/1/2018 9:00:00 PM,20,20,9,9,54,939.3,1,3072,76,4,289.07,256,2,26,68273,855,570.65
16.53,907.18,30.7,20651,124927,5/24/2018 8:00:00 PM,5/24/2018 8:00:00 PM,23,22,9,9,50,530.4,1,3468,80,5,318.29,613,2,26,80313,832,631.19
50.41,303.59,26.27,16562,32854,5/2/2018 10:00:00 AM,5/2/2018 10:00:00 AM,23,19,9,9,55,139.15,1,3058,73,5,295.95,343,2,26,31295,911,655.46
8.41,980.44,27.45,23146,275283,5/9/2018 8:00:00 PM,5/9/2018 8:00:00 PM,23,23,9,9,63,990.84,1,3571,82,5,325.1,738,2,26,167625,898,709.19
